set,tipo,mult,dist,personnel,empire,adoptionrate,district,v2x_rule,v2xcl_prpty,prob,n,companies
sample,concentration,0.9217391304347826,984.2653465336563,7.87536231884058,0.2753623188405797,0.554349073709717,0.6292834890965732,0.9152046783625731,0.6113947368421052,0.37971014492753624,345,113
sample,extraction,0.9525038719669592,104.54239681356805,6.469798657718121,0.23851316468766134,0.8819546846345793,0.9308208569953537,0.847547974413646,0.5553331556503198,0.9710893133711925,1937,623
total,concentration,0.8247011952191236,721.3553257575876,6.633466135458168,0.21115537848605578,0.5646965072003891,0.5983606557377049,0.8835341365461847,0.6058293172690763,0.44223107569721115,502,232
total,extraction,0.930977130977131,74.94052214228677,6.08939708939709,0.2079002079002079,0.8792164483493455,0.9351351351351351,0.8423982869379015,0.557454817987152,0.9600831600831601,2405,928
