year,company,loc,lon,lat,technology,mult,n,dist,exp,expuni,expassoc,expprof,nexpuni,nexpassoc,nexpprof,univ_eigen,univ_ndegree,univ_degree,univ_close,univ_harm,univ_between,assoc_eigen,assoc_ndegree,assoc_degree,assoc_close,assoc_harm,assoc_between,prof_eigen,prof_ndegree,prof_degree,prof_close,prof_harm,prof_between,tech_eigen,tech_ndegree,tech_degree,tech_close,tech_harm,tech_between,country,tipo,code,empire,commonw,v2x_corr,v2xcl_prpty,statecap_baseline,statecap_base_fiscal,statecap_base_fiscal_edu,c_base,c_fiscal,c_comp,v2svstterr,v2stfisccap,v2x_rule
1913,British South Africa Company,london,-0.1277583,51.5073509,cyanid,1,10,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.05463174355107243,0.012658227848101266,1,0.32113821138211385,0.36392405063291133,0,0.056817652655754065,0.01020408163265306,1,0.31313131313131315,0.3340136054421768,0,0.014156803478680953,0.006289308176100629,2,0.22954725972994441,0.23537111909753486,0.03678274889496104,united kingdom,extraction,GBR,1,1,0.028,0.73,2,2,2,2,2,2,98,3,1
1908,British Tropical Africa Company,london,-0.1277583,51.50735,cyanid,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.09233751503463263,0.012658227848101266,1,0.3798076923076923,0.4240506329113924,0,0.0853307858621509,0.009259259259259259,1,0.3450479233226837,0.38611111111111096,0,0,0,0,0,0,0,united kingdom,extraction,GBR,1,1,0.028,0.73,2,2,2,2,2,1,98,3,1
1914,Brynafan Colliery Company,ontario,-85.323214,51.253775,cyanid,1,9,0,1,1,1,1,0,2,0,0.18714380158545027,0.015873015873015872,1,0.32786885245901637,0.3542328042328043,0,0.327893084372368,0.05555555555555555,4,0.5142857142857142,0.5277777777777778,0.014563937434112438,0.35945680216984544,0.054945054945054944,5,0.4690721649484536,0.4990842490842494,0.014533382165876263,0.00880379208686339,0.016666666666666666,6,0.2641509433962264,0.25739528218694974,0.001711751003326468,canada,extraction,CAN,0,1,0.067,0.61,2,1,1,2,1,1,96,0,1
1919,Brynygroeis Colliery Limited,ontario,-85.323214,51.253775,cyanid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canada,extraction,CAN,0,1,0.067,0.631,2,2,1,2,2,1,98,0,1
1910,Btjbbank Main Lode Limited Tods,western,-95.71276,37.09375,cyanid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1913,Bubbank Main Lodll,western,-95.7127622,37.0937489,cyanid,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.005232847917515e-8,0.0031446540880503146,1,0.12360992301112061,0.1230569277600358,0,united states of america,extraction,USA,0,0,0.083,0.581,1,2,1,1,2,1,98,3,1
1911,Bucks Reef Gold Vimlnes Limited,rhodesia,-97.2134822,32.8294337,cyanid,1,1,4.5913793676987665e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1912,Bucks Reef Gold Vimlnes Limited,rhodesia,-97.2134822,32.8294337,cyanid,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.16133421715555293,0.024096385542168676,2,0.415,0.45682730923694786,6.102861837270865e-4,0.15244094640127803,0.01818181818181818,2,0.37630662020905925,0.41136363636363665,2.9325822660648446e-4,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1913,Bucks Reef Gold Vimlnes Limited,rhodesia,-97.2134822,32.8294337,cyanid,1,9,0,4,1,2,1,0,1,0,0.19784087033191028,0.017241379310344827,1,0.3706896551724138,0.30890804597701155,0,0.2888330581114653,0.0379746835443038,3,0.4114583333333333,0.4599156118143459,0.00663263007643864,0.33898270793065105,0.04081632653061224,4,0.4170403587443946,0.43996598639455803,0.008790392438931875,0.440653486080125,0.13522012578616352,43,0.3038906414300736,0.38345566034245177,0.05861029116034801,united states of america,extraction,USA,0,0,0.083,0.581,1,2,1,1,2,1,98,3,1
1914,Bucks Reef Gold Vimlnes Limited,rhodesia,-97.2134822,32.8294337,cyanid,1,8,0,4,0,2,0,1,0,0,0.03647789394764548,0.015873015873015872,1,0.26666666666666666,0.28439153439153436,0,0.15393883499634367,0.027777777777777776,2,0.391304347826087,0.43981481481481477,0.0015513843436901064,0.16265878987987603,0.03296703296703297,3,0.3699186991869919,0.4197802197802197,0.002555065440308593,0.3624050785361555,0.07777777777777778,28,0.33405639913232105,0.34592923280423143,0.03513859881786919,united states of america,extraction,USA,0,0,0.079,0.581,1,2,1,1,2,1,98,3,1
