year,loess_cat,loess_emj,loess_tot
1874,0,0.16928100835212,0.22641085155997376
1877,0,0.29577100131883377,0.28835944449289846
1878,0,0.3133512643412023,0.2936252031276845
1879,0,0.3152399883635813,0.28916661332696336
1880,0,0.3039910888258533,0.27950884401242454
1881,0,0.2877083123205465,0.25014108506884225
1882,0,0.23725093307317455,0.19606193960393908
1883,0,0.15814101181629972,0.1386434893817314
1884,0,0.11047647490302387,0.09925781616623547
1886,0,0.15588130592408864,0.08285608077809953
1887,0,0.21169401029555748,0.10122114063590426
1888,0,0.2728627842716278,0.14085179033431106
1889,0.018515086839074112,0.353356438694516,0.21308974085245888
1890,0.11254196427932261,0.45201525475606485,0.32042803057333596
1891,0.2213814455700746,0.5336083457536969,0.4350369054473666
1892,0.3758165611651888,0.5902445929820157,0.5391385682272447
1893,0.5650113747328462,0.633965294602188,0.6304463154435564
1894,0.7111652816700228,0.6594381892114797,0.6957655151230822
1895,0.7984143609180309,0.6545917176113506,0.7078988530850715
1896,0.8598236406469602,0.6275536368946095,0.6901477674536372
1897,0.8909859400969524,0.6032906600955472,0.6686676027468772
1898,0.8640055221159589,0.5695385460703876,0.6193749104163923
1899,0.7950857839031061,0.5256542223137982,0.5457534326682377
1900,0.7459682462252997,0.5140361548177359,0.5153093001521926
1901,0.7242407420019812,0.5603285460594996,0.5609314737332814
1902,0.7057515343302967,0.6362424278036724,0.620634442833931
1903,0.7046327892437083,0.703276509973138,0.684490744492304
1904,0.7339679561076395,0.7665154492954437,0.7679020264658768
1905,0.7819098846103918,0.8374452067062261,0.8340563783195016
1906,0.8251948412697441,0.8871664484405026,0.8782690306750688
1907,0.8652826960034281,0.8972523162156891,0.9101864858593509
1908,0.9094401609051319,0.8846356737235022,0.9055704681028238
1909,0.9431137657565691,0.8734567701604107,0.8929159482487512
1910,0.9592222985458619,0.869087197908037,0.900247987322166
1911,0.9657295107547685,0.8618163551819502,0.9090477242361656
1912,0.9706493774054576,0.8531611999295388,0.9179453344387051
1913,0.9749284340475936,0.8416592041756217,0.9228291504899564
1914,0.9761038460802365,0.8276730232154101,0.9081794447414219
1915,0.9770755332996488,0.8154573899018811,0.8901492706922215
1916,0.9771691478079308,0.8000661034708114,0.8715313750908763
1917,0.9754649981714665,0.7829718062697734,0.8562317952059528
1918,0.9744949888829428,0.778057495819438,0.8554794889536566
1919,0.9749240599981684,0.7889700885763392,0.8666171596554353
1920,0.9749720380431958,0.8065472623080876,0.8827313706089669
1921,0.9735031572160793,0.8254581565019689,0.8977238173556666
1922,0.97039879449633,0.8451587589516864,0.9128783852142348
1923,0.9662986398467651,0.8686030305802546,0.9260468773507355
1926,0.9480404610493024,0.9605588523515883,0.9656515248634763
